,im_name,circle_hn,h_bar_hn,triangle_hn,v_bar_hn,y,y_hat,img_name
128,,0,1,1,0,0,0,img_1068.png
129,,0,0,0,1,0,1,img_2561.png
130,,0,1,1,1,0,1,img_6713.png
131,,0,1,0,0,0,0,img_6075.png
132,,0,0,0,1,0,1,img_2213.png
133,,1,0,0,0,0,0,img_922.png
134,,1,0,0,1,0,1,img_8070.png
135,,1,0,1,0,0,0,img_1732.png
136,,0,0,0,1,0,1,img_5554.png
137,,1,0,0,1,0,1,img_5232.png
138,,0,0,0,1,0,1,img_1040.png
139,,0,0,0,1,0,1,img_8702.png
140,,0,0,0,1,0,1,img_7431.png
141,,0,0,0,1,0,1,img_5226.png
142,,0,0,0,1,0,1,img_2549.png
143,,0,0,0,1,0,1,img_4886.png
144,,0,0,0,0,0,0,img_6049.png
145,,1,0,0,0,0,0,img_9391.png
146,,1,0,0,1,0,1,img_1915.png
147,,1,1,1,1,0,1,img_8931.png
148,,0,1,0,0,0,0,img_8925.png
149,,0,0,0,1,0,1,img_739.png
150,,0,0,1,1,0,1,img_4879.png
151,,0,0,0,1,0,1,img_5597.png
152,,0,0,0,1,0,1,img_1929.png
153,,0,0,0,0,0,0,img_7380.png
154,,0,0,0,1,0,1,img_1097.png
155,,0,0,0,1,0,1,img_3858.png
156,,1,0,0,1,0,1,img_8919.png
157,,0,0,0,0,0,0,img_1083.png
158,,0,0,0,1,0,1,img_7394.png
159,,0,0,0,1,0,1,img_8918.png
160,,0,0,0,1,0,1,img_6935.png
161,,0,0,0,1,0,1,img_5582.png
162,,1,0,0,1,0,1,img_704.png
163,,0,0,0,1,0,1,img_7395.png
164,,1,0,0,1,0,1,img_1928.png
165,,1,1,1,1,0,1,img_710.png
166,,0,0,1,0,0,0,img_4688.png
167,,0,0,0,1,0,1,img_3681.png
168,,0,0,0,0,0,0,img_3859.png
169,,0,0,0,0,0,0,img_6921.png
170,,0,1,0,0,0,0,img_8924.png
171,,0,0,0,1,0,1,img_6909.png
172,,0,0,0,0,0,0,img_9384.png
173,,0,0,0,1,0,1,img_4878.png
174,,0,0,0,1,0,1,img_738.png
175,,0,0,0,0,0,0,img_1914.png
176,,0,1,0,0,0,0,img_8930.png
177,,0,1,0,1,0,1,img_4139.png
178,,0,0,0,1,0,1,img_3656.png
179,,0,0,0,1,0,1,img_8703.png
180,,0,1,1,0,0,0,img_1041.png
181,,0,0,0,1,0,1,img_1727.png
182,,0,0,0,1,0,1,img_6048.png
183,,1,0,0,1,0,1,img_7356.png
184,,1,0,0,1,0,1,img_8065.png
185,,0,0,1,0,0,0,img_3130.png
186,,1,0,0,0,0,0,img_5541.png
187,,0,0,0,0,0,0,img_4887.png
188,,0,0,0,1,0,1,img_3124.png
189,,0,0,0,1,0,1,img_5555.png
190,,0,0,0,0,0,0,img_1733.png
191,,0,1,0,0,0,0,img_7342.png
192,,0,0,1,1,0,1,img_8071.png
193,,1,0,0,0,0,0,img_9409.png
194,,0,1,0,0,0,0,img_5233.png
195,,1,0,0,1,0,1,img_3642.png
196,,0,1,0,1,0,1,img_9421.png
197,,1,0,0,1,0,1,img_6712.png
198,,0,0,0,0,0,0,img_4663.png
199,,0,0,0,1,0,1,img_9353.png
200,,0,0,0,1,0,1,img_3118.png
201,,0,0,0,1,0,1,img_4677.png
202,,1,0,0,1,0,1,img_937.png
203,,1,1,1,0,0,0,img_5569.png
204,,1,0,0,0,0,0,img_2206.png
205,,0,0,0,1,0,1,img_7418.png
206,,0,1,0,1,0,1,img_6706.png
207,,0,0,0,0,0,0,img_7197.png
208,,1,0,0,0,0,0,img_5958.png
209,,1,0,0,1,0,1,img_506.png
210,,0,0,0,1,0,1,img_2789.png
211,,0,0,0,1,0,1,img_260.png
212,,0,1,0,0,0,0,img_1280.png
213,,0,0,0,1,0,1,img_7829.png
214,,0,1,0,0,0,0,img_9810.png
215,,0,0,0,1,0,1,img_274.png
216,,0,0,0,1,0,1,img_2945.png
217,,0,0,0,0,0,0,img_512.png
218,,0,1,0,0,0,0,img_7183.png
219,,0,0,1,1,0,1,img_5964.png
220,,0,0,0,0,0,0,img_9186.png
221,,1,0,0,1,0,1,img_9838.png
222,,0,1,1,0,0,0,img_2979.png
223,,0,0,0,0,0,0,img_5970.png
224,,0,0,1,0,0,0,img_5743.png
225,,1,1,1,1,0,1,img_3332.png
226,,0,0,0,1,0,1,img_8267.png
227,,0,0,0,1,0,1,img_1525.png
228,,0,0,1,1,0,1,img_1243.png
229,,0,0,0,1,0,1,img_8501.png
230,,0,0,0,0,0,0,img_7632.png
231,,0,0,0,1,0,1,img_2992.png
232,,0,0,0,0,0,0,img_5025.png
233,,0,0,0,1,0,1,img_3440.png
234,,0,1,1,0,0,0,img_5031.png
235,,0,0,0,0,0,0,img_8273.png
236,,1,0,0,1,0,1,img_2038.png
237,,0,1,0,1,0,1,img_5757.png
238,,0,0,0,1,0,1,img_4449.png
239,,1,0,1,1,0,1,img_3326.png
240,,0,1,1,1,0,1,img_7168.png
241,,1,1,1,0,0,0,img_6276.png
242,,0,0,0,1,0,1,img_3468.png
243,,1,0,1,0,0,0,img_4307.png
244,,0,0,0,1,0,1,img_5019.png
245,,1,0,0,1,0,1,img_2776.png
246,,1,0,1,0,0,0,img_6510.png
247,,0,0,1,1,0,1,img_6504.png
248,,0,1,0,0,0,0,img_9637.png
249,,0,0,0,1,0,1,img_4475.png
250,,0,1,1,0,0,0,img_1492.png
251,,0,0,0,1,0,1,img_472.png
252,,0,0,1,0,0,0,img_3285.png
253,,1,1,0,0,0,0,img_2825.png
254,,1,0,0,1,0,1,img_314.png
255,,0,0,0,1,0,1,img_7785.png
256,,0,0,0,1,0,1,img_9964.png
257,,0,0,0,1,0,1,img_4298.png
258,,1,0,0,1,0,1,img_2831.png
259,,0,1,1,0,0,0,img_466.png
260,,1,0,0,1,0,1,img_1486.png
261,,0,0,0,0,0,0,img_5810.png
262,,0,0,1,1,0,1,img_9780.png
263,,0,1,0,0,0,0,img_9958.png
264,,0,0,1,0,0,0,img_5804.png
265,,0,0,0,1,0,1,img_4529.png
266,,1,1,1,0,0,0,img_2158.png
267,,1,0,0,0,0,0,img_1451.png
268,,0,1,0,0,0,0,img_8313.png
269,,0,0,0,1,0,1,img_7746.png
270,,0,0,0,0,0,0,img_6458.png
271,,0,0,0,1,0,1,img_1337.png
272,,1,1,1,0,0,0,img_5151.png
273,,0,1,1,0,0,0,img_3520.png
274,,0,0,0,1,0,1,img_7752.png
275,,0,0,0,0,0,0,img_8307.png
276,,0,0,1,1,0,1,img_7034.png
277,,0,0,0,0,0,0,img_3252.png
278,,1,1,0,0,0,0,img_5623.png
279,,0,0,0,1,0,1,img_4515.png
280,,0,1,0,1,0,1,img_2602.png
281,,0,0,0,1,0,1,img_8449.png
282,,0,1,0,1,0,1,img_6464.png
283,,1,0,1,1,0,1,img_6470.png
284,,0,0,0,1,0,1,img_5179.png
285,,0,0,0,1,0,1,img_4267.png
286,,0,1,0,1,0,1,img_9025.png
287,,1,0,0,1,0,1,img_7008.png
288,,0,0,0,1,0,1,img_6841.png
289,,0,0,0,1,0,1,img_6699.png
290,,0,0,0,1,0,1,img_670.png
291,,0,0,0,0,0,0,img_2399.png
292,,0,0,0,1,0,1,img_4930.png
293,,1,0,0,0,0,0,img_1684.png
294,,0,1,0,1,0,1,img_4924.png
295,,0,0,0,1,0,1,img_102.png
296,,1,0,0,1,0,1,img_7593.png
297,,0,0,0,0,0,0,img_8878.png
298,,0,0,0,1,0,1,img_4918.png
299,,0,0,0,0,0,0,img_880.png
300,,0,0,0,1,0,1,img_1860.png
301,,0,0,0,1,0,1,img_9582.png
302,,0,0,0,1,0,1,img_3722.png
303,,1,0,0,0,0,0,img_5353.png
304,,0,1,1,1,0,1,img_7544.png
305,,0,0,0,0,0,0,img_8677.png
306,,0,0,0,1,0,1,img_7222.png
307,,0,0,0,1,0,1,img_1653.png
308,,0,0,1,0,0,0,img_5435.png
309,,1,0,0,0,0,0,img_3044.png
310,,1,0,1,0,0,0,img_8105.png
311,,0,1,1,0,0,0,img_6128.png
312,,0,1,1,0,0,0,img_1647.png
313,,0,0,0,1,0,1,img_7550.png
314,,1,1,1,0,0,0,img_8663.png
315,,1,0,0,1,0,1,img_3736.png
316,,0,0,0,1,0,1,img_2428.png
317,,0,1,1,0,0,0,img_8893.png
318,,0,0,0,0,0,0,img_6666.png
319,,0,0,0,1,0,1,img_4071.png
320,,0,1,0,0,0,0,img_2400.png
321,,0,0,0,1,0,1,img_857.png
322,,0,1,0,0,0,0,img_4717.png
323,,0,0,0,1,0,1,img_9233.png
324,,0,0,0,1,0,1,img_6100.png
325,,0,0,0,1,0,1,img_8139.png
326,,0,0,0,1,0,1,img_9227.png
327,,0,1,0,0,0,0,img_6114.png
328,,0,0,0,1,0,1,img_843.png
329,,0,1,1,1,0,1,img_2414.png
330,,0,0,0,1,0,1,img_8887.png
331,,1,0,0,1,0,1,img_6672.png
332,,0,0,0,0,0,0,img_9231.png
333,,0,0,0,1,0,1,img_6102.png
334,,1,1,1,0,0,0,img_4715.png
335,,1,0,1,1,0,1,img_2364.png
336,,0,0,0,1,0,1,img_2402.png
337,,1,1,0,0,0,0,img_4073.png
338,,1,0,0,1,0,1,img_9557.png
339,,1,1,1,1,0,1,img_9543.png
340,,0,0,0,1,0,1,img_8885.png
341,,0,0,0,0,0,0,img_2416.png
342,,1,0,0,1,0,1,img_841.png
343,,0,0,0,1,0,1,img_2370.png
344,,0,0,1,1,0,1,img_1679.png
345,,0,0,0,1,0,1,img_9225.png
346,,0,1,0,0,0,0,img_6116.png
347,,0,0,0,1,0,1,img_3046.png
348,,0,0,0,0,0,0,img_4729.png
349,,0,1,0,0,0,0,img_7220.png
350,,1,1,0,1,0,1,img_1889.png
351,,0,0,0,1,0,1,img_7546.png
352,,0,0,0,1,0,1,img_6658.png
353,,0,0,0,1,0,1,img_5351.png
354,,1,0,0,0,0,0,img_3720.png
355,,0,0,0,1,0,1,img_5345.png
356,,0,0,0,1,0,1,img_3734.png
357,,1,0,0,1,0,1,img_7552.png
358,,0,0,0,1,0,1,img_8661.png
359,,0,0,0,1,0,1,img_1123.png
360,,1,0,0,0,0,0,img_1645.png
361,,1,0,1,1,0,1,img_3052.png
362,,0,0,0,1,0,1,img_5423.png
363,,0,0,0,1,0,1,img_9594.png
364,,0,0,0,1,0,1,img_128.png
365,,1,0,0,1,0,1,img_8846.png
366,,1,0,0,1,0,1,img_4932.png
367,,1,0,0,1,0,1,img_3085.png
368,,0,0,0,1,0,1,img_672.png
369,,0,0,0,1,0,1,img_114.png
370,,0,0,0,1,0,1,img_5392.png
371,,0,0,0,1,0,1,img_7585.png
372,,0,0,0,1,0,1,img_7591.png
373,,1,0,0,0,0,0,img_4098.png
374,,0,0,0,0,0,0,img_100.png
375,,0,0,0,0,0,0,img_5386.png
376,,0,0,0,1,0,1,img_4926.png
377,,0,0,0,1,0,1,img_666.png
378,,0,0,0,1,0,1,img_1309.png
379,,0,0,0,0,0,0,img_7778.png
380,,0,0,1,1,0,1,img_2166.png
381,,0,0,1,1,0,1,img_13.png
382,,0,0,0,0,0,0,img_5609.png
383,,0,1,0,1,0,1,img_4517.png
384,,0,1,1,1,0,1,img_6300.png
385,,0,0,0,1,0,1,img_6314.png
386,,1,0,0,1,0,1,img_4503.png
387,,0,0,1,1,0,1,img_6472.png
388,,1,0,1,1,0,1,img_5153.png
389,,0,0,1,0,0,0,img_9769.png
390,,0,0,1,1,0,1,img_8477.png
391,,1,0,0,1,0,1,img_7744.png
392,,1,1,1,1,0,1,img_7022.png
393,,1,0,0,0,0,0,img_1453.png
394,,0,0,0,1,0,1,img_5635.png
395,,1,1,1,0,0,0,img_3250.png
396,,0,1,0,0,0,0,img_7036.png
397,,0,0,0,1,0,1,img_6328.png
398,,0,0,0,1,0,1,img_1321.png
399,,0,1,1,0,0,0,img_7988.png
400,,1,0,1,1,0,1,img_8463.png
401,,0,0,0,1,0,1,img_3536.png
402,,0,1,0,1,0,1,img_5147.png
403,,0,0,0,1,0,1,img_2628.png
404,,0,0,0,1,0,1,img_9796.png
405,,0,1,1,0,0,0,img_5812.png
406,,1,0,0,0,0,0,img_7977.png
407,,0,0,0,1,0,1,img_9782.png
408,,0,0,0,1,0,1,img_7787.png
409,,0,0,0,1,0,1,img_9972.png
410,,0,0,0,1,0,1,img_2827.png
411,,0,0,0,0,0,0,img_470.png
412,,0,0,0,1,0,1,img_3287.png
413,,1,0,0,1,0,1,img_2199.png
414,,1,1,1,1,0,1,img_1490.png
415,,1,0,1,0,0,0,img_3293.png
416,,0,1,1,0,0,0,img_302.png
417,,1,0,1,1,0,1,img_7793.png
418,,1,1,1,0,0,0,img_9966.png
419,,1,0,0,1,0,1,img_9621.png
420,,0,0,0,1,0,1,img_2012.png
421,,1,0,0,1,0,1,img_9153.png
422,,0,0,0,1,0,1,img_5769.png
423,,1,0,0,1,0,1,img_2006.png
424,,0,0,0,1,0,1,img_2760.png
425,,0,0,0,0,0,0,img_4311.png
426,,1,0,0,1,0,1,img_6506.png
427,,0,0,0,1,0,1,img_4339.png
428,,0,0,0,1,0,1,img_3456.png
429,,1,0,0,0,0,0,img_1241.png
430,,0,1,0,1,0,1,img_8265.png
431,,0,1,0,0,0,0,img_5741.png
432,,0,0,0,0,0,0,img_3324.png
433,,0,0,0,0,0,0,img_1533.png
434,,0,0,0,1,0,1,img_7142.png
435,,0,0,0,1,0,1,img_8517.png
436,,1,0,0,1,0,1,img_7624.png
437,,0,0,0,1,0,1,img_9609.png
438,,1,0,0,1,0,1,img_1255.png
439,,0,0,0,0,0,0,img_5033.png
440,,0,0,0,0,0,0,img_3442.png
441,,0,0,0,0,0,0,img_7817.png
442,,1,0,0,1,0,1,img_9184.png
443,,0,0,0,1,0,1,img_5972.png
444,,1,0,0,0,0,0,img_9190.png
445,,1,0,0,0,0,0,img_7803.png
446,,1,0,0,1,0,1,img_2953.png
447,,0,0,0,0,0,0,img_2.png
448,,1,0,0,1,0,1,img_7181.png
449,,1,0,1,0,0,0,img_5796.png
450,,0,0,0,1,0,1,img_510.png
451,,1,0,1,1,0,1,img_2947.png
452,,0,1,0,0,0,0,img_276.png
453,,0,0,0,1,0,1,img_1296.png
454,,0,0,0,1,0,1,img_6076.png
455,,0,0,0,1,0,1,img_3668.png
456,,0,0,1,1,0,1,img_9423.png
457,,1,0,1,0,0,0,img_6704.png
458,,0,1,0,0,0,0,img_4113.png
459,,1,0,0,1,0,1,img_2204.png
460,,0,0,0,1,0,1,img_4675.png
461,,1,0,0,0,0,0,img_6062.png
462,,1,0,0,1,0,1,img_4885.png
463,,0,1,0,1,0,1,img_3132.png
464,,0,0,0,1,0,1,img_7354.png
465,,1,0,1,0,0,0,img_8067.png
466,,0,0,1,1,0,1,img_9379.png
467,,0,0,0,1,0,1,img_1725.png
468,,0,0,0,1,0,1,img_1043.png
469,,0,1,0,0,0,0,img_7432.png
470,,0,0,1,1,0,1,img_8701.png
471,,0,0,0,1,0,1,img_3654.png
472,,0,0,1,1,0,1,img_3640.png
473,,1,0,0,1,0,1,img_5231.png
474,,1,0,0,0,0,0,img_1057.png
475,,0,0,0,1,0,1,img_6738.png
476,,0,0,0,1,0,1,img_7426.png
477,,0,0,0,1,0,1,img_8715.png
478,,0,0,0,0,0,0,img_7340.png
479,,1,1,0,0,0,0,img_8073.png
480,,0,0,0,1,0,1,img_2238.png
481,,0,1,1,0,0,0,img_909.png
482,,0,0,0,1,0,1,img_4649.png
483,,0,0,0,1,0,1,img_3126.png
484,,1,0,0,0,0,0,img_9386.png
485,,0,0,0,1,0,1,img_1902.png
486,,0,1,1,0,0,0,img_8098.png
487,,0,0,0,1,0,1,img_8926.png
488,,0,0,0,0,0,0,img_3873.png
489,,1,0,0,0,0,0,img_1916.png
490,,0,0,0,0,0,0,img_706.png
491,,0,0,0,1,0,1,img_5580.png
492,,0,1,1,0,0,0,img_3697.png
493,,0,0,0,1,0,1,img_6937.png
494,,1,0,0,0,0,0,img_1080.png
495,,0,0,1,1,0,1,img_4852.png
496,,0,0,0,1,0,1,img_3682.png
497,,0,0,0,1,0,1,img_6922.png
498,,0,0,0,1,0,1,img_5595.png
499,,0,0,1,1,0,1,img_713.png
500,,0,0,0,1,0,1,img_5581.png
501,,0,1,0,0,0,0,img_1081.png
502,,0,0,0,1,0,1,img_9387.png
503,,1,1,1,0,0,0,img_7427.png
504,,0,0,0,1,0,1,img_3899.png
505,,0,0,0,1,0,1,img_3641.png
506,,0,0,1,0,0,0,img_3127.png
507,,0,1,1,1,0,1,img_4648.png
508,,0,0,0,1,0,1,img_5556.png
509,,0,0,0,0,0,0,img_908.png
510,,0,0,0,1,0,1,img_4890.png
511,,1,0,0,0,0,0,img_2239.png
512,,0,0,0,1,0,1,img_8072.png
513,,0,0,0,1,0,1,img_1724.png
514,,0,0,0,1,0,1,img_3133.png
515,,1,0,1,1,0,1,img_5542.png
516,,0,0,0,1,0,1,img_8700.png
517,,0,1,0,1,0,1,img_1042.png
518,,0,0,0,0,0,0,img_6063.png
519,,0,1,0,1,0,1,img_9350.png
520,,0,0,0,1,0,1,img_2205.png
521,,0,0,0,1,0,1,img_920.png
522,,0,0,0,0,0,0,img_2211.png
523,,0,0,0,0,0,0,img_1718.png
524,,1,0,0,1,0,1,img_6077.png
525,,1,0,0,1,0,1,img_7369.png
526,,1,0,0,1,0,1,img_6711.png
527,,0,0,0,0,0,0,img_2577.png
528,,0,0,0,1,0,1,img_5218.png
529,,1,0,0,1,0,1,img_4106.png
530,,0,0,0,0,0,0,img_3669.png
531,,0,0,1,0,0,0,img_4489.png
532,,0,0,1,1,0,1,img_5797.png
533,,1,0,0,0,0,0,img_9813.png
534,,0,0,0,1,0,1,img_3480.png
535,,0,0,0,0,0,0,img_2946.png
536,,0,0,0,1,0,1,img_263.png
537,,0,0,1,1,0,1,img_2952.png
538,,0,0,0,1,0,1,img_7194.png
539,,0,0,0,1,0,1,img_5783.png
540,,1,0,0,1,0,1,img_9191.png
541,,0,0,0,0,0,0,img_5973.png
542,,0,0,0,1,0,1,img_7816.png
543,,0,0,0,0,0,0,img_539.png
544,,1,0,1,1,0,1,img_5967.png
545,,0,0,0,0,0,0,img_9185.png
546,,1,1,1,1,0,1,img_7143.png
547,,0,0,0,0,0,0,img_8270.png
548,,0,0,0,1,0,1,img_1532.png
549,,0,0,0,1,0,1,img_5754.png
550,,1,1,0,0,0,0,img_3325.png
551,,0,0,0,0,0,0,img_2985.png
552,,0,0,0,0,0,0,img_5032.png
553,,0,0,0,0,0,0,img_9608.png
554,,0,0,0,1,0,1,img_8516.png
555,,1,0,1,0,0,0,img_7631.png
556,,0,1,1,0,0,0,img_2749.png
557,,0,0,1,0,0,0,img_3331.png
558,,0,0,0,1,0,1,img_5998.png
559,,1,1,0,0,0,0,img_8264.png
560,,1,1,1,0,0,0,img_6249.png
561,,0,0,0,1,0,1,img_1526.png
562,,0,0,0,0,0,0,img_5768.png
563,,0,1,0,0,0,0,img_4476.png
564,,0,0,0,0,0,0,img_9152.png
565,,0,0,0,1,0,1,img_9634.png
566,,0,0,0,1,0,1,img_7619.png
567,,0,0,0,0,0,0,img_288.png
568,,0,1,0,1,0,1,img_2775.png
569,,0,0,0,1,0,1,img_4462.png
570,,0,0,0,1,0,1,img_3292.png
571,,0,0,0,0,0,0,img_465.png
572,,0,0,0,1,0,1,img_9967.png
573,,0,0,0,0,0,0,img_2832.png
574,,0,0,0,0,0,0,img_303.png
575,,0,0,0,1,0,1,img_5185.png
576,,0,0,1,1,0,1,img_7786.png
577,,1,0,1,1,0,1,img_2198.png
578,,0,1,1,1,0,1,img_471.png
579,,1,0,0,1,0,1,img_459.png
580,,0,0,0,1,0,1,img_7976.png
581,,1,1,1,0,0,0,img_7962.png
582,,0,0,0,1,0,1,img_8489.png
583,,1,0,1,1,0,1,img_5813.png
584,,0,1,1,0,0,0,img_6329.png
585,,0,1,0,1,0,1,img_7037.png
586,,0,1,1,0,0,0,img_5620.png
587,,0,0,0,1,0,1,img_3537.png
588,,1,0,0,0,0,0,img_7751.png
589,,0,0,0,1,0,1,img_7989.png
590,,0,0,0,1,0,1,img_7745.png
591,,0,0,0,1,0,1,img_9768.png
592,,0,1,0,0,0,0,img_5152.png
593,,0,0,1,0,0,0,img_3245.png
594,,0,0,0,0,0,0,img_1452.png
595,,0,0,0,0,0,0,img_2615.png
596,,0,0,0,0,0,0,img_2601.png
597,,1,0,0,1,0,1,img_4270.png
598,,1,0,0,0,0,0,img_7779.png
599,,0,0,0,1,0,1,img_9754.png
600,,0,0,0,1,0,1,img_1308.png
601,,0,0,0,1,0,1,img_6301.png
602,,1,1,0,1,0,1,img_3279.png
603,,1,0,0,0,0,0,img_2167.png
604,,0,0,0,1,0,1,img_6856.png
605,,0,0,0,0,0,0,img_1687.png
606,,0,0,0,1,0,1,img_667.png
607,,0,0,0,1,0,1,img_4927.png
608,,1,0,0,1,0,1,img_3084.png
609,,1,1,1,1,0,1,img_4933.png
610,,0,0,1,1,0,1,img_7584.png
611,,0,1,1,0,0,0,img_115.png
612,,0,0,0,0,0,0,img_8847.png
613,,1,0,0,1,0,1,img_9581.png
614,,0,1,1,0,0,0,img_883.png
615,,1,0,0,1,0,1,img_3906.png
616,,0,0,0,0,0,0,img_8853.png
617,,0,0,0,0,0,0,img_9595.png
618,,0,0,0,1,0,1,img_1122.png
619,,0,0,0,1,0,1,img_8660.png
620,,0,0,1,1,0,1,img_6895.png
621,,0,0,0,0,0,0,img_3735.png
622,,0,1,1,0,0,0,img_5422.png
623,,0,1,1,1,0,1,img_3053.png
624,,0,0,0,1,0,1,img_7235.png
625,,1,0,0,1,0,1,img_9218.png
626,,0,0,0,1,0,1,img_1644.png
627,,0,0,0,1,0,1,img_1888.png
628,,1,0,1,1,0,1,img_1650.png
629,,0,0,0,1,0,1,img_4728.png
630,,0,0,0,1,0,1,img_5350.png
631,,0,0,0,0,0,0,img_1136.png
632,,0,1,0,1,0,1,img_6659.png
633,,0,0,0,1,0,1,img_7547.png
634,,0,0,0,1,0,1,img_3709.png
